yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9Y397	Q9Y397	ZDHC9_HUMAN	reviewed	Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9) (Zinc finger protein 379) (Zinc finger protein 380)	ZDHHC9 CXorf11 ZDHHC10 ZNF379 ZNF380 CGI-89 UNQ261/PRO298	Homo sapiens (Human)	364
P48167	P48167	GLRB_HUMAN	reviewed	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)	GLRB	Homo sapiens (Human)	497
C9JRZ6	C9JRZ6	C9JRZ6_HUMAN	unreviewed	MICOS complex subunit MIC19	CHCHD3	Homo sapiens (Human)	232
Q96PE2	Q96PE2	ARHGH_HUMAN	reviewed	Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4)	ARHGEF17 KIAA0337 TEM4	Homo sapiens (Human)	2063
Q13263	Q13263	TIF1B_HUMAN	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835
H0Y977	H0Y977	H0Y977_HUMAN	unreviewed	Speckle-type POZ protein (Fragment)	SPOP	Homo sapiens (Human)	72
Q13608	Q13608	PEX6_HUMAN	reviewed	Peroxisome assembly factor 2 (PAF-2) (Peroxin-6) (Peroxisomal biogenesis factor 6) (Peroxisomal-type ATPase 1)	PEX6 PXAAA1	Homo sapiens (Human)	980
Q9H6Z9	Q9H6Z9	EGLN3_HUMAN	reviewed	Prolyl hydroxylase EGLN3 (EC 1.14.11.-) (Egl nine homolog 3) (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	Homo sapiens (Human)	239
F8WEW6	F8WEW6	F8WEW6_HUMAN	unreviewed	E3 ubiquitin-protein ligase RNF8	RNF8	Homo sapiens (Human)	89
P20930	P20930	FILA_HUMAN	reviewed	Filaggrin	FLG	Homo sapiens (Human)	4061
O94829	O94829	IPO13_HUMAN	reviewed	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13 KIAA0724 RANBP13	Homo sapiens (Human)	963
P03952	P03952	KLKB1_HUMAN	reviewed	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	KLKB1 KLK3	Homo sapiens (Human)	638
Q643R3	Q643R3	LPCT4_HUMAN	reviewed	Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase)	LPCAT4 AGPAT7 AYTL3 LPEAT2	Homo sapiens (Human)	524
Q8TF72	Q8TF72	SHRM3_HUMAN	reviewed	Protein Shroom3 (Shroom-related protein) (hShrmL)	SHROOM3 KIAA1481 SHRML MSTP013	Homo sapiens (Human)	1996
P60484	P60484	PTEN_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403
A0A024R0Y6	A0A024R0Y6	A0A024R0Y6_HUMAN	unreviewed	ADP-ribosylation factor 3, isoform CRA_b	ARF3 hCG_40390	Homo sapiens (Human)	181
Q53S58	Q53S58	TM177_HUMAN	reviewed	Transmembrane protein 177	TMEM177	Homo sapiens (Human)	311
P28749	P28749	RBL1_HUMAN	reviewed	Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1)	RBL1	Homo sapiens (Human)	1068
Q96EH5	Q96EH5	RL39L_HUMAN	reviewed	60S ribosomal protein L39-like (60S ribosomal protein L39-2) (Large ribosomal subunit protein eL39-like)	RPL39L RPL39L1	Homo sapiens (Human)	51
Q969K4	Q969K4	ABTB1_HUMAN	reviewed	Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein)	ABTB1 BPOZ PP2259	Homo sapiens (Human)	478
Q8IVQ6	Q8IVQ6	ZDH21_HUMAN	reviewed	Palmitoyltransferase ZDHHC21 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 21) (DHHC-21) (Zinc finger DHHC domain-containing protein 21)	ZDHHC21	Homo sapiens (Human)	265
O94913	O94913	PCF11_HUMAN	reviewed	Pre-mRNA cleavage complex 2 protein Pcf11 (Pre-mRNA cleavage complex II protein Pcf11)	PCF11 KIAA0824	Homo sapiens (Human)	1555
P29323	P29323	EPHB2_HUMAN	reviewed	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	Homo sapiens (Human)	1055
Q86Y97	Q86Y97	KMT5C_HUMAN	reviewed	Histone-lysine N-methyltransferase KMT5C (Lysine N-methyltransferase 5C) (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361)	KMT5C SUV420H2 PP7130	Homo sapiens (Human)	462
H7BYA3	H7BYA3	H7BYA3_HUMAN	unreviewed	Ras-GEF domain-containing family member 1A (Fragment)	RASGEF1A	Homo sapiens (Human)	211
Q3SXM5	Q3SXM5	HSDL1_HUMAN	reviewed	Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3)	HSDL1 SDR12C3	Homo sapiens (Human)	330
P33778	P33778	H2B1B_HUMAN	reviewed	Histone H2B type 1-B (H2B-clustered histone 3) (Histone H2B.1) (Histone H2B.f) (H2B/f)	H2BC3 H2BFF HIST1H2BB	Homo sapiens (Human)	126
F5H479	F5H479	F5H479_HUMAN	unreviewed	Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1 (Ragulator complex protein LAMTOR1)	LAMTOR1	Homo sapiens (Human)	99
P12235	P12235	ADT1_HUMAN	reviewed	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	SLC25A4 AAC1 ANT1	Homo sapiens (Human)	298
Q15006	Q15006	EMC2_HUMAN	reviewed	ER membrane protein complex subunit 2 (Tetratricopeptide repeat protein 35) (TPR repeat protein 35)	EMC2 KIAA0103 TTC35	Homo sapiens (Human)	297
Q5T2S8	Q5T2S8	ODAD2_HUMAN	reviewed	Outer dynein arm-docking complex subunit 2 (Armadillo repeat-containing protein 4)	ODAD2 ARMC4	Homo sapiens (Human)	1044
Q5T9L3	Q5T9L3	WLS_HUMAN	reviewed	Protein wntless homolog (Integral membrane protein GPR177) (Protein evenness interrupted homolog) (EVI) (Putative NF-kappa-B-activating protein 373)	WLS C1orf139 GPR177 UNQ85/PRO18667	Homo sapiens (Human)	541
Q8TCJ2	Q8TCJ2	STT3B_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)	STT3B SIMP	Homo sapiens (Human)	826
Q8N8B7	Q8N8B7	TEANC_HUMAN	reviewed	Transcription elongation factor A N-terminal and central domain-containing protein (TFIIS central domain-containing protein 1)	TCEANC	Homo sapiens (Human)	351
Q7Z5K2	Q7Z5K2	WAPL_HUMAN	reviewed	Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)	WAPL FOE KIAA0261 WAPAL	Homo sapiens (Human)	1190
P98198	P98198	AT8B2_HUMAN	reviewed	Phospholipid-transporting ATPase ID (EC 7.6.2.1) (ATPase class I type 8B member 2) (P4-ATPase flippase complex alpha subunit ATP8B2)	ATP8B2 ATPID KIAA1137	Homo sapiens (Human)	1209
Q8N7X1	Q8N7X1	RMXL3_HUMAN	reviewed	RNA-binding motif protein, X-linked-like-3	RBMXL3 CXorf55	Homo sapiens (Human)	1067
O94874	O94874	UFL1_HUMAN	reviewed	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)	UFL1 KIAA0776 MAXER NLBP RCAD	Homo sapiens (Human)	794
Q8IV61	Q8IV61	GRP3_HUMAN	reviewed	Ras guanyl-releasing protein 3 (Calcium and DAG-regulated guanine nucleotide exchange factor III) (Guanine nucleotide exchange factor for Rap1)	RASGRP3 GRP3 KIAA0846	Homo sapiens (Human)	690
Q9NQG6	Q9NQG6	MID51_HUMAN	reviewed	Mitochondrial dynamics protein MID51 (Mitochondrial dynamics protein of 51 kDa) (Mitochondrial elongation factor 1) (Smith-Magenis syndrome chromosomal region candidate gene 7 protein-like) (SMCR7-like protein)	MIEF1 MID51 SMCR7L	Homo sapiens (Human)	463
Q92608	Q92608	DOCK2_HUMAN	reviewed	Dedicator of cytokinesis protein 2	DOCK2 KIAA0209	Homo sapiens (Human)	1830
Q6PJG9	Q6PJG9	LRFN4_HUMAN	reviewed	Leucine-rich repeat and fibronectin type-III domain-containing protein 4	LRFN4 SALM3	Homo sapiens (Human)	635
Q6NSI4	Q6NSI4	RADX_HUMAN	reviewed	RPA-related protein RADX (RPA-related and RAD51-antagonist, X-chromosome)	RADX CXorf57	Homo sapiens (Human)	855
Q6NUM9	Q6NUM9	RETST_HUMAN	reviewed	All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)	RETSAT PPSIG UNQ439/PRO872	Homo sapiens (Human)	610
P55789	P55789	ALR_HUMAN	reviewed	FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin)	GFER ALR HERV1 HPO	Homo sapiens (Human)	205
Q9H9L4	Q9H9L4	KANL2_HUMAN	reviewed	KAT8 regulatory NSL complex subunit 2 (NSL complex protein NSL2) (Non-specific lethal 2 homolog)	KANSL2 C12orf41 NSL2	Homo sapiens (Human)	492
Q5W5X9	Q5W5X9	TTC23_HUMAN	reviewed	Tetratricopeptide repeat protein 23 (TPR repeat protein 23) (Cervical cancer proto-oncogene 8 protein) (HCC-8)	TTC23 HCC8	Homo sapiens (Human)	447
A8K122	A8K122	A8K122_HUMAN	unreviewed	KIAA1946, isoform CRA_b (cDNA FLJ77486)	KIAA1946 hCG_22075	Homo sapiens (Human)	827
A0A024RDH6	A0A024RDH6	A0A024RDH6_HUMAN	unreviewed	SEC31-like 1 (S. cerevisiae), isoform CRA_b	SEC31L1 hCG_20214	Homo sapiens (Human)	1181
Q8TCG1	Q8TCG1	CIP2A_HUMAN	reviewed	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)	CIP2A KIAA1524	Homo sapiens (Human)	905
Q96PZ0	Q96PZ0	PUS7_HUMAN	reviewed	Pseudouridylate synthase 7 homolog (EC 5.4.99.-)	PUS7 KIAA1897	Homo sapiens (Human)	661
Q9UJM8	Q9UJM8	HAOX1_HUMAN	reviewed	2-Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GO) (GOX) (Glyoxylate oxidase) (EC 1.2.3.5)	HAO1 GOX1	Homo sapiens (Human)	370
P40227	P40227	TCPZ_HUMAN	reviewed	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)	CCT6A CCT6 CCTZ	Homo sapiens (Human)	531
A0AVT1	A0AVT1	UBA6_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052
Q92771	Q92771	DDX12_HUMAN	reviewed	Putative ATP-dependent RNA helicase DDX12 (EC 3.6.4.13) (CHL1-related protein 2) (hCHLR2) (DEAD/H box protein 12)	DDX12P CHLR2 DDX12	Homo sapiens (Human)	950
P36969	P36969	GPX4_HUMAN	reviewed	Phospholipid hydroperoxide glutathione peroxidase (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)	GPX4	Homo sapiens (Human)	197
Q9Y376	Q9Y376	CAB39_HUMAN	reviewed	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	CAB39 MO25 CGI-66	Homo sapiens (Human)	341
O75689	O75689	ADAP1_HUMAN	reviewed	Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)	ADAP1 CENTA1	Homo sapiens (Human)	374
B1AJQ6	B1AJQ6	B1AJQ6_HUMAN	unreviewed	Syntaxin-12 (Fragment)	STX12	Homo sapiens (Human)	215
Q5HYG7	Q5HYG7	Q5HYG7_HUMAN	unreviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)	DKFZp686M24262	Homo sapiens (Human)	454
O75962	O75962	TRIO_HUMAN	reviewed	Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)	TRIO	Homo sapiens (Human)	3097
A0A0S2Z4W6	A0A0S2Z4W6	A0A0S2Z4W6_HUMAN	unreviewed	Glutamine--fructose-6-phosphate transaminase (isomerizing) (EC 2.6.1.16) (Fragment)	GFPT2	Homo sapiens (Human)	628
P46199	P46199	IF2M_HUMAN	reviewed	Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))	MTIF2	Homo sapiens (Human)	727
Q96AX9	Q96AX9	MIB2_HUMAN	reviewed	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1)	MIB2 SKD ZZANK1	Homo sapiens (Human)	955
Q9Y262	Q9Y262	EIF3L_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)	EIF3L EIF3EIP EIF3S6IP HSPC021 HSPC025 MSTP005	Homo sapiens (Human)	564
V9HW69	V9HW69	V9HW69_HUMAN	unreviewed	Macrophage-capping protein (Actin regulatory protein CAP-G)	HEL-S-66	Homo sapiens (Human)	348
O00422	O00422	SAP18_HUMAN	reviewed	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
P11684	P11684	UTER_HUMAN	reviewed	Uteroglobin (Clara cell phospholipid-binding protein) (CCPBP) (Clara cells 10 kDa secretory protein) (CC10) (Secretoglobin family 1A member 1) (Urinary protein 1) (UP-1) (UP1) (Urine protein 1)	SCGB1A1 CC10 CCSP UGB	Homo sapiens (Human)	91
P47897	P47897	SYQ_HUMAN	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	QARS1 QARS	Homo sapiens (Human)	775
O43541	O43541	SMAD6_HUMAN	reviewed	Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (SMAD family member 6) (SMAD 6) (Smad6) (hSMAD6)	SMAD6 MADH6	Homo sapiens (Human)	496
Q9BQ65	Q9BQ65	USB1_HUMAN	reviewed	U6 snRNA phosphodiesterase 1 (hUsb1) (3'-5' RNA exonuclease USB1) (EC 4.6.1.-) (Mutated in poikiloderma with neutropenia protein 1) (Mutated in PN protein 1) (hMpn1)	USB1 C16orf57 Mpn1	Homo sapiens (Human)	265
Q96T46	Q96T46	Q96T46_HUMAN	unreviewed	Hemoglobin alpha 2 (Fragment)	HBA2	Homo sapiens (Human)	76
Q02297	Q02297	NRG1_HUMAN	reviewed	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	NRG1 GGF HGL HRGA NDF SMDF	Homo sapiens (Human)	640
Q9BUF7	Q9BUF7	CRUM3_HUMAN	reviewed	Protein crumbs homolog 3	CRB3 UNQ588/PRO1158	Homo sapiens (Human)	120
H7C4V1	H7C4V1	H7C4V1_HUMAN	unreviewed	Testis-specific-expressed protein 55 (Fragment)	TEX55	Homo sapiens (Human)	441
Q6P158	Q6P158	DHX57_HUMAN	reviewed	Putative ATP-dependent RNA helicase DHX57 (EC 3.6.4.13) (DEAH box protein 57)	DHX57	Homo sapiens (Human)	1386
Q75V66	Q75V66	ANO5_HUMAN	reviewed	Anoctamin-5 (Gnathodiaphyseal dysplasia 1 protein) (Transmembrane protein 16E)	ANO5 GDD1 TMEM16E	Homo sapiens (Human)	913
P05107	P05107	ITB2_HUMAN	reviewed	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	ITGB2 CD18 MFI7	Homo sapiens (Human)	769
Q8N2H9	Q8N2H9	PELI3_HUMAN	reviewed	E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase pellino homolog 3)	PELI3	Homo sapiens (Human)	469
Q9Y3B2	Q9Y3B2	EXOS1_HUMAN	reviewed	Exosome complex component CSL4 (Exosome component 1)	EXOSC1 CSL4 CGI-108	Homo sapiens (Human)	195
P30414	P30414	NKTR_HUMAN	reviewed	NK-tumor recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) (Peptidyl-prolyl cis-trans isomerase NKTR) (PPIase) (EC 5.2.1.8) (Rotamase)	NKTR	Homo sapiens (Human)	1462
Q03135	Q03135	CAV1_HUMAN	reviewed	Caveolin-1	CAV1 CAV	Homo sapiens (Human)	178
P05129	P05129	KPCG_HUMAN	reviewed	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	PRKCG PKCG	Homo sapiens (Human)	697
Q9Y5B9	Q9Y5B9	SP16H_HUMAN	reviewed	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	SUPT16H FACT140 FACTP140	Homo sapiens (Human)	1047
O95235	O95235	KI20A_HUMAN	reviewed	Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6)	KIF20A MKLP2 RAB6KIFL	Homo sapiens (Human)	890
P51570	P51570	GALK1_HUMAN	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)	392
P50851	P50851	LRBA_HUMAN	reviewed	Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)	LRBA BGL CDC4L LBA	Homo sapiens (Human)	2863
Q8N1K8	Q8N1K8	Q8N1K8_HUMAN	unreviewed	cDNA FLJ40556 fis, clone THYMU2002583, highly similar to DYNAMIN 2		Homo sapiens (Human)	464
O95400	O95400	CD2B2_HUMAN	reviewed	CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2) (U5 snRNP 52K protein) (U5-52K)	CD2BP2 KIAA1178	Homo sapiens (Human)	341
H0Y7V8	H0Y7V8	H0Y7V8_HUMAN	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1) (Fragment)	CDC42BPA	Homo sapiens (Human)	984
Q6FHJ7	Q6FHJ7	SFRP4_HUMAN	reviewed	Secreted frizzled-related protein 4 (sFRP-4) (Frizzled protein, human endometrium) (FrpHE)	SFRP4 FRPHE	Homo sapiens (Human)	346
Q7Z2E3	Q7Z2E3	APTX_HUMAN	reviewed	Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT)	APTX AXA1	Homo sapiens (Human)	356
Q15181	Q15181	IPYR_HUMAN	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA1 IOPPP PP	Homo sapiens (Human)	289
Q96FC9	Q96FC9	DDX11_HUMAN	reviewed	ATP-dependent DNA helicase DDX11 (EC 3.6.4.12) (CHL1-related protein 1) (hCHLR1) (DEAD/H-box protein 11) (Keratinocyte growth factor-regulated gene 2 protein) (KRG-2)	DDX11 CHL1 CHLR1 KRG2	Homo sapiens (Human)	970
Q86YD7	Q86YD7	F90A1_HUMAN	reviewed	Protein FAM90A1	FAM90A1	Homo sapiens (Human)	464
Q9H8H2	Q9H8H2	DDX31_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX31 (EC 3.6.4.13) (DEAD box protein 31) (Helicain)	DDX31	Homo sapiens (Human)	851
A0A024R0K4	A0A024R0K4	A0A024R0K4_HUMAN	unreviewed	Uncharacterized protein	FLJ10241 hCG_22319	Homo sapiens (Human)	257
O14602	O14602	IF1AY_HUMAN	reviewed	Eukaryotic translation initiation factor 1A, Y-chromosomal (eIF-1A Y isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)	EIF1AY	Homo sapiens (Human)	144
E7EUT5	E7EUT5	E7EUT5_HUMAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	Homo sapiens (Human)	260
Q13021	Q13021	MALL_HUMAN	reviewed	MAL-like protein (Protein BENE)	MALL BENE	Homo sapiens (Human)	153
Q96IZ6	Q96IZ6	MET2A_HUMAN	reviewed	tRNA N(3)-methylcytidine methyltransferase METTL2A (EC 2.1.1.-) (Methyltransferase-like protein 2A)	METTL2A METTL2 HSPC266	Homo sapiens (Human)	378
Q05193	Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
Q9NZV5	Q9NZV5	SELN_HUMAN	reviewed	Selenoprotein N (SelN)	SELENON SELN SEPN1	Homo sapiens (Human)	590
P15531	P15531	NDKA_HUMAN	reviewed	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1 NDPKA NM23	Homo sapiens (Human)	152
P22309	P22309	UD11_HUMAN	reviewed	UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 1) (hUG-BR1) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (UDP-glucuronosyltransferase 1A isoform 1)	UGT1A1 GNT1 UGT1	Homo sapiens (Human)	533
A0A024QZB1	A0A024QZB1	A0A024QZB1_HUMAN	unreviewed	HCG1998636, isoform CRA_a	hCG_1998636	Homo sapiens (Human)	1010
O95260	O95260	ATE1_HUMAN	reviewed	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	ATE1	Homo sapiens (Human)	518
Q9BXI6	Q9BXI6	TB10A_HUMAN	reviewed	TBC1 domain family member 10A (EBP50-PDX interactor of 64 kDa) (EPI64 protein) (Rab27A-GAP-alpha)	TBC1D10A EPI64 TBC1D10	Homo sapiens (Human)	508
Q01650	Q01650	LAT1_HUMAN	reviewed	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)	SLC7A5 CD98LC LAT1 MPE16	Homo sapiens (Human)	507
Q9Y6Y8	Q9Y6Y8	S23IP_HUMAN	reviewed	SEC23-interacting protein (p125)	SEC23IP MSTP053	Homo sapiens (Human)	1000
Q9HBI0	Q9HBI0	PARVG_HUMAN	reviewed	Gamma-parvin	PARVG	Homo sapiens (Human)	331
P05165	P05165	PCCA_HUMAN	reviewed	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	PCCA	Homo sapiens (Human)	728
Q86UV5	Q86UV5	UBP48_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	USP48 USP31	Homo sapiens (Human)	1035
Q14562	Q14562	DHX8_HUMAN	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	DHX8 DDX8	Homo sapiens (Human)	1220
O75175	O75175	CNOT3_HUMAN	reviewed	CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2)	CNOT3 KIAA0691 LENG2 NOT3	Homo sapiens (Human)	753
A0A0S2Z5K3	A0A0S2Z5K3	A0A0S2Z5K3_HUMAN	unreviewed	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase (EC 3.6.1.62) (Fragment)	DCP1A	Homo sapiens (Human)	546
O95219	O95219	SNX4_HUMAN	reviewed	Sorting nexin-4	SNX4	Homo sapiens (Human)	450
Q99720	Q99720	SGMR1_HUMAN	reviewed	Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1)	SIGMAR1 OPRS1 SRBP AAG8	Homo sapiens (Human)	223
